run,is_random,measure_type,kb,cache_lines,ms_per_cache_line,cycles_per_cache_line,instructions_per_cache_line,L1-dcache-loads_per_cache_line,branches_per_cache_line
0,1,EventCounter,1,16,7.15e-05,1687.06,961.875,225.5,159.5
1,1,EventCounter,1,16,4.55625e-05,545.688,679.938,157.562,107.75
2,1,EventCounter,1,16,4.225e-05,525.812,678.875,156.125,107.625
3,1,EventCounter,1,16,4.23125e-05,533.062,677.25,156.188,107.75
0,1,EventCounter,2,32,2.50625e-05,271.844,343.656,79.4688,54.375
1,1,EventCounter,2,32,2.50625e-05,271.188,342.5,79.0938,54.25
2,1,EventCounter,2,32,2.16875e-05,276.656,343.188,79.7812,54.4062
3,1,EventCounter,2,32,2.2e-05,267.062,341.812,79.0938,54.2812
0,1,EventCounter,4,64,1.14062e-05,133.266,174.625,40.6875,27.7344
1,1,EventCounter,4,64,1.36719e-05,137.344,174.25,40.8281,27.6875
2,1,EventCounter,4,64,1.15156e-05,134.156,174.125,40.8125,27.6719
3,1,EventCounter,4,64,1.16875e-05,136.391,174.438,40.6406,27.7188
0,1,EventCounter,8,128,6.38281e-06,69.9297,90.375,21.3984,14.3281
1,1,EventCounter,8,128,6.32031e-06,67.8828,90.0156,21.3984,14.3594
2,1,EventCounter,8,128,6.42969e-06,68.625,90.2031,21.2578,14.3359
3,1,EventCounter,8,128,6.25781e-06,67.9531,90.2031,21.3359,14.3594
0,1,EventCounter,16,256,3.69141e-06,35.5234,47.9219,11.6562,7.66406
1,1,EventCounter,16,256,3.53906e-06,35.1055,48.332,11.7227,7.66797
2,1,EventCounter,16,256,3.48437e-06,35.1836,48.0195,11.7031,7.6875
3,1,EventCounter,16,256,3.54687e-06,35.2891,48.0703,11.7266,7.68359
0,1,EventCounter,32,512,2.21484e-06,18.5312,27.0996,6.8125,4.3418
1,1,EventCounter,32,512,2.14648e-06,18.7285,27.0547,6.82422,4.33203
2,1,EventCounter,32,512,2.17578e-06,18.6875,27.0332,6.81836,4.33789
3,1,EventCounter,32,512,2.19336e-06,18.7461,27.0996,6.81641,4.33594
0,1,EventCounter,64,1024,1.51465e-06,10.2578,16.5996,4.40918,2.67188
1,1,EventCounter,64,1024,1.51172e-06,10.4844,16.6289,4.41504,2.66895
2,1,EventCounter,64,1024,1.5166e-06,10.1855,16.5488,4.40527,2.66016
3,1,EventCounter,64,1024,1.50977e-06,10.2988,16.624,4.42578,2.6709
0,1,EventCounter,128,2048,1.17041e-06,5.92383,11.2939,3.2041,1.8335
1,1,EventCounter,128,2048,1.14648e-06,5.96875,11.2896,3.20264,1.83545
2,1,EventCounter,128,2048,3.80713e-06,11.5273,14.2642,3.99707,2.31445
3,1,EventCounter,128,2048,1.14209e-06,6.07373,11.3145,3.20459,1.83545
0,1,EventCounter,256,4096,9.62402e-07,3.82397,8.66089,2.60205,1.41748
1,1,EventCounter,256,4096,9.63135e-07,3.8562,8.66064,2.60205,1.41748
2,1,EventCounter,256,4096,9.69238e-07,3.71948,8.65405,2.60132,1.41724
3,1,EventCounter,256,4096,9.65576e-07,3.77417,8.65894,2.60229,1.41748
0,1,EventCounter,512,8192,9.07104e-07,2.78442,7.32642,2.30054,1.20813
1,1,EventCounter,512,8192,9.15161e-07,2.80334,7.32874,2.30078,1.20801
2,1,EventCounter,512,8192,9.11377e-07,2.74231,7.32349,2.30103,1.20764
3,1,EventCounter,512,8192,9.08325e-07,2.745,7.32861,2.30078,1.20789
0,1,EventCounter,1024,16384,1.30115e-06,3.11615,6.66467,2.15076,1.10431
1,1,EventCounter,1024,16384,1.22687e-06,2.96454,6.66016,2.15027,1.10406
2,1,EventCounter,1024,16384,1.36786e-06,3.30042,6.66077,2.15051,1.10437
3,1,EventCounter,1024,16384,1.11755e-06,2.71893,6.6601,2.151,1.10437
0,1,EventCounter,2048,32768,2.46857e-06,5.24411,6.33115,2.07471,1.05072
1,1,EventCounter,2048,32768,2.69107e-06,5.97629,6.51794,2.07471,1.05066
