run,is_random,measure_type,kb,cache_lines,ms_per_cache_line,cycles_per_cache_line,instructions_per_cache_line,L1-dcache-loads_per_cache_line,branches_per_cache_line
0,1,EventCounter,1,16,9.3625e-05,3549.62,1067.88,255.312,193.75
1,1,EventCounter,1,16,6.90625e-05,1609.25,705.375,161.062,110.875
2,1,EventCounter,1,16,7.30625e-05,2080.62,705.375,161.062,110.875
3,1,EventCounter,1,16,6.6125e-05,1590,705.375,161.062,110.875
0,1,EventCounter,2,32,3.55938e-05,797.375,355.688,81.5312,55.9375
1,1,EventCounter,2,32,3.76875e-05,800.375,355.688,81.5312,55.9375
2,1,EventCounter,2,32,3.4e-05,793.562,355.688,81.5312,55.9375
3,1,EventCounter,2,32,3.4625e-05,797.469,355.688,81.5312,55.9375
0,1,EventCounter,4,64,1.73281e-05,399.625,180.844,41.7656,28.4688
1,1,EventCounter,4,64,1.84688e-05,399.641,180.844,41.7656,28.4688
2,1,EventCounter,4,64,1.84063e-05,446.438,180.844,41.7656,28.4688
3,1,EventCounter,4,64,1.69063e-05,399.094,180.844,41.7656,28.4688
0,1,EventCounter,8,128,1.19687e-05,203.867,93.4219,21.8828,14.7344
1,1,EventCounter,8,128,9.66406e-06,205.016,93.4219,21.8828,14.7344
2,1,EventCounter,8,128,9.67969e-06,200.969,93.4219,21.8828,14.7344
3,1,EventCounter,8,128,9.39062e-06,200.992,93.4219,21.8828,14.7344
0,1,EventCounter,16,256,6.79297e-06,103,49.7109,11.9414,7.86719
1,1,EventCounter,16,256,5.91016e-06,166.75,83.7109,11.9414,7.86719
2,1,EventCounter,16,256,5.80469e-06,101.867,49.7109,11.9414,7.86719
3,1,EventCounter,16,256,5.71875e-06,101.637,49.7109,11.9414,7.86328
0,1,EventCounter,32,512,4.38281e-06,52.8223,27.8555,6.9707,4.43359
1,1,EventCounter,32,512,3.72461e-06,52.127,27.8555,6.9707,4.43359
2,1,EventCounter,32,512,3.73828e-06,52.0977,27.8555,6.9707,4.43359
3,1,EventCounter,32,512,3.74609e-06,52.1465,27.8555,6.9707,4.43359
0,1,EventCounter,64,1024,2.88379e-06,27.1631,16.9277,4.48535,2.7168
1,1,EventCounter,64,1024,2.80371e-06,27.0254,16.9277,4.48535,2.71582
2,1,EventCounter,64,1024,2.76953e-06,26.9619,16.9277,4.48535,2.7168
3,1,EventCounter,64,1024,2.79297e-06,27.0859,16.9277,4.48535,2.7168
0,1,EventCounter,128,2048,2.56641e-06,14.916,11.4639,3.24268,1.85889
1,1,EventCounter,128,2048,2.62109e-06,15.3062,11.4639,3.24365,1.8584
2,1,EventCounter,128,2048,2.27588e-06,14.894,11.4639,3.24268,1.8584
3,1,EventCounter,128,2048,2.26465e-06,14.7485,11.4639,3.24268,1.8584
0,1,EventCounter,256,4096,2.51172e-06,9.21704,8.73193,2.62134,1.4292
1,1,EventCounter,256,4096,2.06421e-06,8.5957,8.73169,2.62134,1.4292
2,1,EventCounter,256,4096,2.12695e-06,8.50757,8.73193,2.62134,1.4292
3,1,EventCounter,256,4096,2.03662e-06,8.3645,8.73193,2.62134,1.4292
0,1,EventCounter,512,8192,3.11926e-06,6.80786,7.36597,2.31067,1.2146
1,1,EventCounter,512,8192,2.9585e-06,6.72693,7.36597,2.31067,1.2146
2,1,EventCounter,512,8192,2.76587e-06,6.34717,7.36597,2.31067,1.2146
3,1,EventCounter,512,8192,3.22595e-06,6.96472,7.36597,2.31067,1.2146
0,1,EventCounter,1024,16384,5.1405e-06,7.76703,6.68298,2.15533,1.1073
1,1,EventCounter,1024,16384,5.3385e-06,8.07849,6.68298,2.15509,1.10718
2,1,EventCounter,1024,16384,5.87421e-06,8.65143,7.21704,2.2926,1.19507
3,1,EventCounter,1024,16384,4.77869e-06,7.3092,6.68298,2.15533,1.10718
0,1,EventCounter,2048,32768,6.32837e-06,12.9548,6.34149,2.07751,1.05359
