run,is_random,measure_type,kb,cache_lines,ms_per_cache_line,cycles_per_cache_line,instructions_per_cache_line,L1-dcache-loads_per_cache_line,branches_per_cache_line
0,1,EventCounter,1,16,4.44375e-05,1845,546.438,271.125,115.562
1,1,EventCounter,1,16,1.9375e-05,330.125,193.062,71.125,42.5625
2,1,EventCounter,1,16,1.75625e-05,336.625,193.062,69.3125,42.5625
3,1,EventCounter,1,16,1.56875e-05,363.938,193.062,69,42.5625
0,1,EventCounter,2,32,4.375e-06,201.531,99.5312,35.6875,21.7812
1,1,EventCounter,2,32,3.78125e-06,154.938,99.5312,35.4062,21.7812
2,1,EventCounter,2,32,3.4375e-06,163.375,99.5312,35.5625,21.7812
3,1,EventCounter,2,32,3.75e-06,153.656,99.5312,35.4062,21.7812
0,1,EventCounter,4,64,2.03125e-06,78.75,52.7656,18.7031,11.3906
1,1,EventCounter,4,64,5e-06,88.5312,52.7656,18.6719,11.4062
2,1,EventCounter,4,64,2.1875e-06,78.4062,52.7656,18.7656,11.3906
3,1,EventCounter,4,64,2.03125e-06,78.5,52.7656,18.75,11.3906
0,1,EventCounter,8,128,1.48438e-06,40.6562,29.3828,10.3359,6.19531
1,1,EventCounter,8,128,1.40625e-06,40.625,29.3828,10.3594,6.19531
2,1,EventCounter,8,128,1.40625e-06,40.6328,29.3828,10.3438,6.19531
3,1,EventCounter,8,128,1.33594e-06,40.4297,29.3828,10.3594,6.19531
0,1,EventCounter,16,256,1.05859e-06,21.6016,17.6914,6.1875,3.59766
1,1,EventCounter,16,256,1.09766e-06,21.9375,17.6914,6.18359,3.59766
2,1,EventCounter,16,256,1.05469e-06,21.5,17.6914,6.17578,3.59766
3,1,EventCounter,16,256,1.09766e-06,21.5,17.6914,6.17188,3.59766
0,1,EventCounter,32,512,9.00391e-07,12.0859,11.8457,4.10547,2.29883
1,1,EventCounter,32,512,9.19922e-07,12.6406,11.8457,4.0918,2.29883
2,1,EventCounter,32,512,8.98438e-07,11.8711,11.8457,4.08789,2.29883
3,1,EventCounter,32,512,9.00391e-07,11.7461,11.8457,4.0918,2.29883
0,1,EventCounter,64,1024,8.01758e-07,7.03125,8.92285,3.04395,1.64941
1,1,EventCounter,64,1024,8.02734e-07,7.07129,8.92285,3.04785,1.64941
2,1,EventCounter,64,1024,8.125e-07,7.0625,8.92285,3.04688,1.64941
3,1,EventCounter,64,1024,8.125e-07,7.13184,8.92285,3.04688,1.64941
0,1,EventCounter,128,2048,7.58301e-07,4.80322,7.46143,2.52637,1.32471
1,1,EventCounter,128,2048,7.48047e-07,4.77686,7.46143,2.52783,1.32471
2,1,EventCounter,128,2048,7.48535e-07,4.66602,7.46143,2.52197,1.32471
3,1,EventCounter,128,2048,7.48535e-07,4.66455,7.46143,2.52295,1.32471
0,1,EventCounter,256,4096,7.60742e-07,3.6228,6.73071,2.26025,1.16235
1,1,EventCounter,256,4096,7.63184e-07,3.604,6.73071,2.26196,1.16235
2,1,EventCounter,256,4096,7.36328e-07,3.52686,6.73071,2.26196,1.16235
3,1,EventCounter,256,4096,7.55859e-07,3.65015,6.73071,2.26172,1.16235
0,1,EventCounter,512,8192,9.33228e-07,3.65601,6.36536,2.13074,1.08118
1,1,EventCounter,512,8192,8.87939e-07,3.52661,6.36536,2.13245,1.08118
2,1,EventCounter,512,8192,8.86719e-07,3.48071,6.36536,2.13074,1.08118
3,1,EventCounter,512,8192,8.8916e-07,3.50049,6.36536,2.13147,1.08118
0,1,EventCounter,1024,16384,1.0799e-06,3.88361,6.18268,2.06763,1.04059
1,1,EventCounter,1024,16384,1.07629e-06,3.88831,6.18268,2.06885,1.04059
2,1,EventCounter,1024,16384,1.06653e-06,3.83264,6.18268,2.06799,1.04059
3,1,EventCounter,1024,16384,1.05609e-06,3.78796,6.18268,2.06805,1.04053
0,1,EventCounter,2048,32768,1.14355e-06,3.93414,6.09134,2.03253,1.02029
1,1,EventCounter,2048,32768,1.11234e-06,3.82291,6.09134,2.03418,1.02026
2,1,EventCounter,2048,32768,1.10837e-06,3.79608,6.09134,2.03415,1.02029
3,1,EventCounter,2048,32768,1.11081e-06,3.81381,6.09134,2.03519,1.02026
0,1,EventCounter,4096,65536,1.28265e-06,4.3145,6.04567,2.01869,1.01015
1,1,EventCounter,4096,65536,1.25589e-06,4.21475,6.04567,2.01842,1.01013
2,1,EventCounter,4096,65536,1.24031e-06,4.15643,6.04567,2.01758,1.01015
